15-Jan-2024,125361.67824201730
14-Jan-2024,125361.25824201730
13-Jan-2024,125361.25824201724
12-Jan-2024,123491.25824201724
11-Jan-2024,122920.94022119029
10-Jan-2024,123299.67321682889
09-Jan-2024,123211.47751218684
08-Jan-2024,123482.88471805716
07-Jan-2024,123751.64413223823
06-Jan-2024,124240.09299028495
05-Jan-2024,124326.00904979803
04-Jan-2024,124905.0338108336
03-Jan-2024,127020.99788512438
02-Jan-2024,126200.41372562472
01-Jan-2024,125748.73973843684
31-Dec-2023,125567.01337203059
30-Dec-2023,125336.30652108995
29-Dec-2023,126328.05369283096
28-Dec-2023,126434.34177668234
27-Dec-2023,125741.51940847978
26-Dec-2023,125741.51940847978
25-Dec-2023,124966.92509814097
24-Dec-2023,124726.86325965104
23-Dec-2023,124874.08843460868
22-Dec-2023,124451.63211035702
21-Dec-2023,123621.47367171592
20-Dec-2023,123692.95367931837
19-Dec-2023,122772.74884665481
18-Dec-2023,123550.2276848595
17-Dec-2023,123187.14877632583
16-Dec-2023,122629.89588524411
15-Dec-2023,123397.31866109086
14-Dec-2023,122599.78126621031
13-Dec-2023,120644.7028753522
12-Dec-2023,120912.16040513362
11-Dec-2023,121786.60426652132
10-Dec-2023,122204.23568203127
09-Dec-2023,122204.23568203127
08-Dec-2023,123618.0427251568
07-Dec-2023,123376.42486264912
06-Dec-2023,123281.24432993996
05-Dec-2023,124169.40214441401
04-Dec-2023,127054.82116521019
03-Dec-2023,126013.20264198458
02-Dec-2023,126018.87266678528
01-Dec-2023,124456.27204067506
30-Nov-2023,124616.46195673163
29-Nov-2023,124151.23081200293
28-Nov-2023,122743.58405232948
27-Nov-2023,122193.37930821923
26-Nov-2023,121664.26955127227
25-Nov-2023,121991.91361280378
24-Nov-2023,121388.43047466764
23-Nov-2023,121540.48212179675
22-Nov-2023,122054.81960715371
21-Nov-2023,120979.9555734161
20-Nov-2023,120008.04635018643
19-Nov-2023,119884.15927263659
18-Nov-2023,119884.15927263659
17-Nov-2023,120643.0444878295
16-Nov-2023,119298.93604754905
15-Nov-2023,118024.56735300155
14-Nov-2023,118319.8958978576
13-Nov-2023,117846.2436268476
12-Nov-2023,117530.28533860389
11-Nov-2023,117931.21582737095
10-Nov-2023,119283.54083149439
09-Nov-2023,118222.04432772758
08-Nov-2023,119542.96805128604
07-Nov-2023,120379.55564215116
06-Nov-2023,119739.64516712973
05-Nov-2023,120148.47196350087
04-Nov-2023,120148.47196350087
03-Nov-2023,121071.74872988432
02-Nov-2023,120425.30134941559
01-Nov-2023,120183.33665236348
31-Oct-2023,120889.89288681006
30-Oct-2023,121548.81071772332
29-Oct-2023,121849.89083258371
28-Oct-2023,122219.45797452838
27-Oct-2023,120668.63001548508
26-Oct-2023,120971.87646796135
25-Oct-2023,120031.8603062349
24-Oct-2023,119198.67445047853
23-Oct-2023,120012.76050227412
22-Oct-2023,120053.26555191528
21-Oct-2023,120252.21898031402
20-Oct-2023,119973.04292750605
19-Oct-2023,118796.24405659271
18-Oct-2023,117761.28496233434
17-Oct-2023,116284.33329610944
16-Oct-2023,116756.48200028363
15-Oct-2023,117705.76259406326
14-Oct-2023,117705.76259406326
13-Oct-2023,114885.2434342471
12-Oct-2023,114041.04325713233
11-Oct-2023,112853.23660657975
10-Oct-2023,112843.97056995398
09-Oct-2023,112431.87674028878
08-Oct-2023,110992.25549733709
07-Oct-2023,111262.66852646586
06-Oct-2023,110582.99645378639
05-Oct-2023,110953.84100011241
04-Oct-2023,110798.36721100216
03-Oct-2023,111429.7314853633
02-Oct-2023,112226.17916971678
01-Oct-2023,112403.01771990578
30-Sep-2023,112403.01771990578
29-Sep-2023,113163.56642433949
28-Sep-2023,114495.40095375056
27-Sep-2023,115760.81629761981
26-Sep-2023,116952.74632953371
25-Sep-2023,116292.46296617333
24-Sep-2023,116312.3948027547
23-Sep-2023,116312.3948027547
22-Sep-2023,116740.37513569814
21-Sep-2023,117982.50627934262
20-Sep-2023,117514.67696124739
19-Sep-2023,117147.0292995916
18-Sep-2023,116706.60377793676
17-Sep-2023,116464.59769113951
16-Sep-2023,116661.33656245781
15-Sep-2023,117185.46938769252
14-Sep-2023,115643.54363871792
13-Sep-2023,115392.24415527444
12-Sep-2023,116418.940770227
11-Sep-2023,116707.48995459777
10-Sep-2023,116259.47315870921
09-Sep-2023,116383.05993432074
08-Sep-2023,117026.89860884365
07-Sep-2023,116784.52976520437
06-Sep-2023,117177.37201479558
05-Sep-2023,117209.01965897287
04-Sep-2023,118371.42736486619
03-Sep-2023,117707.29273920458
02-Sep-2023,117935.83905367655
01-Sep-2023,117463.9092708085
31-Aug-2023,117127.52732390228
30-Aug-2023,116490.34824291819
29-Aug-2023,115974.53961132103
28-Aug-2023,115725.29332255188
27-Aug-2023,115797.03392920583
26-Aug-2023,115797.03392920583
25-Aug-2023,115951.09462469065
24-Aug-2023,115386.42074978793
23-Aug-2023,115877.34772625449
22-Aug-2023,114983.68347110179
21-Aug-2023,114877.29541003298
20-Aug-2023,114543.59355198298
19-Aug-2023,114805.16830709076
18-Aug-2023,115022.6039847039
17-Aug-2023,115667.84789456068
16-Aug-2023,116379.263885775
15-Aug-2023,115849.51365749314
14-Aug-2023,116356.265505192
13-Aug-2023,116064.61550479407
12-Aug-2023,115747.6364203604
11-Aug-2023,116133.59406595926
10-Aug-2023,116006.1282565972
09-Aug-2023,116766.15765550068
08-Aug-2023,116726.13229078875
07-Aug-2023,116548.77003278052
06-Aug-2023,116600.36782212427
05-Aug-2023,116600.36782212427
